tconst,averageRating,numVotes
tt0318627,6.2,176617
tt0117665,7.6,176508
tt0397892,6.8,176273
tt1340800,7.1,176024
tt0079817,7.2,175572
tt0103874,7.4,175481
tt1606389,6.8,174999
tt0370263,5.6,174955
tt1111422,6.4,174881
tt2321549,6.8,174784
tt0432021,6.3,174506
tt0477080,6.7,174360
tt1646987,5.7,173642
tt5362988,7.7,173584
tt1586680,8.6,173241
tt0120685,5.4,173209
tt0366551,7.1,173188
tt0472954,8.8,173182
tt0914798,7.8,172850
tt1723811,7.2,172565
tt1972591,6.8,171936
tt0212346,6.2,171883
tt0089927,6.9,171711
tt1120985,7.4,171686
tt1826940,7.7,171561
tt0083907,7.5,171559
tt0363988,6.6,171383
tt0462322,7.5,171188
tt0488120,7.2,171089
tt0375063,7.5,170791
tt0096438,7.7,170299
tt0139134,6.8,170228
tt0120347,6.5,170028
tt0244244,6.5,169879
tt1458175,7.4,169808
tt0097428,6.6,169467
tt0080455,7.9,169399
tt0241303,7.2,169345
tt0758752,6.7,169260
tt0075860,7.6,169201
tt2094766,5.7,169179
tt0385752,6.1,168856
tt0118571,6.5,168774
tt0974661,6.3,168754
tt1596350,6.3,168526
tt0114898,6.2,168523
tt1617661,5.3,168392
tt0448115,7.2,168292
tt0272152,7.4,168025
tt0250494,6.2,167936
tt1365519,6.3,167912
tt1217613,5.7,167833
tt0489270,6.2,167732
tt0102798,6.9,167694
tt0352248,8,167510
tt0362270,7.3,167420
tt0116209,7.4,167322
tt0299977,7.9,167037
tt0295701,5.9,167000
tt0838221,7.2,166878
tt1398426,7.9,166845
tt0200465,7.2,166811
tt2446042,6,166760
tt0111282,7.1,166646
tt1007028,6.5,166645
tt0029583,7.6,166610
tt0455590,7.7,166599
tt0814255,5.9,166579
tt0461770,7,166544
tt1583421,5.8,166466
tt1596365,6.4,166433
tt0100157,7.8,166391
tt0117381,7.7,166340
tt0829150,6.3,166272
tt0268126,7.7,166263
tt0099810,7.6,165971
tt0120630,7,165511
tt1959563,6.9,165021
tt4776998,5.9,164868
tt0160127,5.5,164789
tt1872194,7.4,164678
tt0090756,7.8,164617
tt0285331,8.3,164052
tt0986263,6.3,164036
tt0120917,7.3,163740
tt0134119,7.4,163658
tt0117998,6.4,163651
tt0307901,7.6,163380
tt0418763,7,163070
tt0276751,7,162877
tt1078912,6,162847
tt1964418,6.4,162663
tt0122690,7.3,162631
tt2741602,8,162564
tt1226229,6.4,162529
tt0120863,7.6,161768
tt2557490,6.1,161756
tt0756683,7.9,161720
tt5109784,6.6,161596
tt0138704,7.4,161539
tt0979432,8.6,161335
tt0112851,7.2,161281
tt1700841,6.2,161189
tt0195685,7.3,160543
tt2023587,6.2,160385
tt0266308,7.6,160324
tt0094012,7.1,160279
tt0450278,5.9,160255
tt2467372,8.4,160232
tt7349662,7.5,160216
tt0087538,7.2,159984
tt5726616,7.9,159571
tt0146882,7.5,159399
tt0112697,6.8,159254
tt4263482,6.8,159083
tt0366548,6.4,159051
tt0084602,6.8,159045
tt0183790,6.9,158969
tt0129167,8,158702
tt0311429,5.8,158529
tt0128445,7.7,158447
tt1033643,6.1,158374
tt0109707,7.8,158313
tt0103772,6.9,158279
tt0443680,7.5,158140
tt2333784,6.1,158051
tt1935179,7.4,157905
tt0120746,6.7,157893
tt1229340,6.3,157725
tt2345759,5.5,157689
tt0359013,5.9,157411
tt0478304,6.8,157387
tt1355683,6.9,157242
tt0098936,8.8,157221
tt0106856,7.6,157091
tt1628841,5.2,156931
tt2005151,7.1,156908
tt0338348,6.6,156900
tt0389722,6.6,156860
tt0970416,5.5,156774
tt0109506,7.6,156558
tt0082694,7.6,156138
tt0307453,6,156115
tt2369135,6.5,155941
tt0442933,6.2,155809
tt0415306,6.6,155767
tt6468322,8.6,155593
tt0101540,7.3,155474
tt0346491,5.6,155459
tt0375912,7.3,155372
tt1465522,7.5,155195
tt1231587,6.4,155013
tt0114148,6.7,154815
tt0465494,6.3,154815
tt0142688,6.7,154744
tt1038988,7.4,154682
tt5675620,8.6,154598
tt1220634,5.8,154363
tt6320628,7.9,154301
tt1253864,6,153894
tt0074285,7.4,153754
tt1196946,8.1,153591
tt0120188,7.1,153512
tt0387199,8.4,152853
tt0349683,6.3,152782
tt0275847,7.2,152765
tt0106308,7.5,152754
tt0120647,6.2,152681
tt0096754,7.6,152672
tt0978762,8.1,152468
tt0918940,6.2,152099
tt0372588,7.2,152008
tt0337563,6.1,151888
tt0398165,6.4,151882
tt5164214,6.2,150980
tt0140352,7.8,150804
tt1001508,6.4,150732
tt0086960,7.3,150422
tt0097733,7.2,150407
tt0021749,8.5,150210
tt0454841,6.4,150115
tt1821694,6.6,150104
tt0465538,7.2,149466
tt0172493,7.3,149424
